date,temperature,humidity,luminosity
2020-12-03 16:23:39.615,23.4,16.0,104
2020-12-03 16:23:37.340,23.3,15.9,110
2020-12-03 16:23:35.067,23.3,16.0,103
2020-12-03 16:23:32.794,23.3,16.0,104
2020-12-03 16:23:30.521,23.2,16.0,101
2020-12-03 16:23:28.248,23.2,16.0,96
2020-12-03 16:23:25.979,23.2,16.0,108
2020-12-03 16:23:23.705,23.2,16.0,105
2020-12-03 16:23:21.432,23.2,15.9,106
2020-12-03 16:23:19.163,23.2,15.9,106
2020-12-03 16:23:16.890,23.3,16.0,107
2020-12-03 16:23:14.616,23.3,16.0,98
2020-12-03 16:23:12.343,23.3,15.9,105
2020-12-03 16:23:10.070,23.4,16.0,108
2020-12-03 16:23:07.801,23.4,16.0,112
2020-12-03 16:23:05.527,23.4,16.0,107
2020-12-03 16:23:03.255,23.5,16.0,109
2020-12-03 16:23:00.981,23.5,16.0,102
2020-12-03 16:22:58.708,23.5,16.0,109
2020-12-03 16:22:56.440,23.6,15.9,113
2020-12-03 16:22:54.166,23.6,15.9,106
2020-12-03 16:22:51.893,23.6,15.9,98
2020-12-03 16:22:49.619,23.7,15.9,109
2020-12-03 16:22:47.346,23.8,16.0,110
2020-12-03 16:22:45.077,23.9,16.0,109
2020-12-03 16:22:42.804,24.0,16.1,105
2020-12-03 16:22:40.531,24.0,16.1,104
2020-12-03 16:22:38.258,24.0,16.1,103
2020-12-03 16:22:35.985,24.0,16.1,95
2020-12-03 16:22:33.715,24.0,16.1,105
2020-12-03 16:22:31.489,24.1,16.2,106
2020-12-03 16:22:29.169,24.1,16.2,107
2020-12-03 16:22:26.895,24.1,16.2,106
2020-12-03 16:22:24.622,24.1,16.2,109
2020-12-03 16:22:22.353,24.1,16.2,104
2020-12-03 16:22:20.080,24.1,16.3,107
2020-12-03 16:22:17.807,24.0,16.2,106
2020-12-03 16:22:15.534,24.0,16.3,107
2020-12-03 16:22:13.261,24.0,16.3,111
2020-12-03 16:22:10.991,23.9,16.3,100
2020-12-03 16:22:08.718,23.9,16.3,104
2020-12-03 16:22:06.444,23.9,16.3,106
2020-12-03 16:22:04.175,23.8,16.3,108
2020-12-03 16:22:01.898,23.8,16.3,108
2020-12-03 16:21:59.629,23.7,16.3,109
2020-12-03 16:21:57.356,23.7,16.3,105
2020-12-03 16:21:55.083,23.7,16.3,105
2020-12-03 16:21:52.810,23.6,16.3,105
2020-12-03 16:21:50.537,23.5,16.3,104
2020-12-03 16:21:48.267,23.4,16.3,102
2020-12-03 16:21:45.994,23.4,16.3,105
2020-12-03 16:21:43.722,23.3,16.3,105
2020-12-03 16:21:41.448,23.2,16.2,103
2020-12-03 16:21:39.175,23.2,16.2,106
2020-12-03 16:21:36.905,23.2,16.2,108
2020-12-03 16:21:34.633,23.1,16.1,108
2020-12-03 16:21:32.359,23.1,16.1,107
2020-12-03 16:21:30.086,23.0,16.0,105
2020-12-03 16:21:27.813,23.0,16.0,106
2020-12-03 16:21:25.544,22.9,15.9,105
2020-12-03 16:21:23.270,23.0,15.9,108
2020-12-03 16:21:20.997,23.0,15.8,106
2020-12-03 16:21:18.728,23.0,15.8,107
2020-12-03 16:21:16.451,23.1,15.9,109
2020-12-03 16:21:14.183,23.1,15.9,117
2020-12-03 16:21:11.908,23.2,15.9,102
2020-12-03 16:21:09.636,23.2,15.9,92
2020-12-03 16:21:07.362,23.2,15.9,109
2020-12-03 16:21:05.091,23.2,15.9,113
2020-12-03 16:21:02.825,23.3,15.9,115
2020-12-03 16:21:00.547,23.3,15.9,101
2020-12-03 16:20:58.273,23.3,15.9,84
2020-12-03 16:20:56.000,23.4,16.0,112
2020-12-03 16:20:53.726,23.4,16.0,102
2020-12-03 16:20:51.453,23.4,15.9,107
2020-12-03 16:20:49.231,23.4,15.9,107
2020-12-03 16:20:46.911,23.5,15.9,109
2020-12-03 16:20:44.638,23.5,16.0,104
2020-12-03 16:20:42.365,23.6,16.0,104
2020-12-03 16:20:40.098,23.6,16.0,105
2020-12-03 16:20:37.833,23.6,16.1,109
2020-12-03 16:20:35.553,23.6,16.1,109
2020-12-03 16:20:33.276,23.6,16.1,111
2020-12-03 16:20:31.003,23.7,16.2,102
2020-12-03 16:20:28.730,23.7,16.2,97
2020-12-03 16:20:26.460,23.7,16.3,107
2020-12-03 16:20:24.188,23.7,16.4,106
2020-12-03 16:20:21.914,23.6,16.3,107
2020-12-03 16:20:19.642,23.6,16.3,104
2020-12-03 16:20:17.368,23.6,16.4,105
2020-12-03 16:20:15.098,23.6,16.4,102
2020-12-03 16:20:12.825,23.6,16.4,85
2020-12-03 16:20:10.552,23.5,16.4,106
2020-12-03 16:20:08.280,23.5,16.4,105
2020-12-03 16:20:06.005,23.5,16.4,105
2020-12-03 16:20:03.737,23.5,16.4,104
2020-12-03 16:20:01.464,23.5,16.4,106
2020-12-03 16:19:59.190,23.4,16.3,109
2020-12-03 16:19:56.918,23.4,16.4,102
2020-12-03 16:19:54.644,23.4,16.4,94
2020-12-03 16:19:52.375,23.4,16.4,105
2020-12-03 16:19:50.101,23.4,16.4,108
2020-12-03 16:19:47.829,23.3,16.3,103
2020-12-03 16:19:45.555,23.3,16.4,105
2020-12-03 16:19:43.282,23.2,16.3,105
2020-12-03 16:19:41.013,23.2,16.3,105
2020-12-03 16:19:38.740,23.2,16.3,106
2020-12-03 16:19:36.466,23.2,16.3,107
2020-12-03 16:19:34.193,23.2,16.2,103
2020-12-03 16:19:31.920,23.2,16.2,102
2020-12-03 16:19:29.651,23.2,16.2,107
2020-12-03 16:19:27.378,23.3,16.2,107
2020-12-03 16:19:25.105,23.3,16.2,104
2020-12-03 16:19:22.831,23.3,16.1,105
2020-12-03 16:19:20.558,23.3,16.1,104
2020-12-03 16:19:18.289,23.4,16.1,107
2020-12-03 16:19:16.015,23.4,16.1,108
2020-12-03 16:19:13.742,23.4,16.1,101
2020-12-03 16:19:11.469,23.4,16.1,101
2020-12-03 16:19:09.196,23.5,16.1,105
2020-12-03 16:19:06.928,23.5,16.1,108
2020-12-03 16:19:04.654,23.5,16.1,104
2020-12-03 16:19:02.380,23.6,16.2,107
2020-12-03 16:19:00.107,23.5,16.2,110
2020-12-03 16:18:57.834,23.6,16.2,104
2020-12-03 16:18:55.565,23.6,16.2,103
2020-12-03 16:18:53.292,23.6,16.2,103
2020-12-03 16:18:51.018,23.6,16.2,105
2020-12-03 16:18:48.745,23.7,16.2,105
2020-12-03 16:18:46.472,23.7,16.2,106
2020-12-03 16:18:44.204,23.6,16.1,106
2020-12-03 16:18:41.930,23.7,16.2,106
2020-12-03 16:18:39.656,23.7,16.2,106
2020-12-03 16:18:37.384,23.7,16.2,106
2020-12-03 16:18:35.110,23.7,16.3,106
2020-12-03 16:18:32.841,23.7,16.3,106
2020-12-03 16:18:30.568,23.7,16.3,106
2020-12-03 16:18:28.294,23.7,16.4,105
2020-12-03 16:18:26.021,23.7,16.4,105
2020-12-03 16:18:23.747,23.7,16.4,106
2020-12-03 16:18:21.480,23.7,16.5,106
2020-12-03 16:18:19.206,23.7,16.5,107
2020-12-03 16:18:16.933,23.7,16.5,105
2020-12-03 16:18:14.660,23.6,16.4,94
2020-12-03 16:18:12.386,23.6,16.5,106
2020-12-03 16:18:10.118,23.6,16.4,105
2020-12-03 16:18:07.845,23.6,16.4,105
2020-12-03 16:18:05.571,23.6,16.4,105
2020-12-03 16:18:03.298,23.6,16.4,105
2020-12-03 16:18:01.025,23.6,16.4,105
2020-12-03 16:17:58.756,23.6,16.5,105
2020-12-03 16:17:56.482,23.6,16.5,105
2020-12-03 16:17:54.209,23.4,16.4,105
2020-12-03 16:17:51.936,23.4,16.4,105
2020-12-03 16:17:49.663,23.2,16.4,105
2020-12-03 16:17:47.393,23.1,16.3,105
2020-12-03 16:17:45.121,23.0,16.3,105
2020-12-03 16:17:42.847,23.0,16.3,105
2020-12-03 16:17:40.574,23.0,16.3,105
2020-12-03 16:17:38.301,23.0,16.3,105
2020-12-03 16:17:36.031,23.0,16.3,105
2020-12-03 16:17:33.759,23.0,16.3,113
